fold_k,model,feature_set,n_train_pairs,n_train_pos,n_test_pairs,n_test_pos,fit_seconds,roc_auc,pr_auc,p@50,p@100
34,lgbm,S+T+C,2744135,329,200000,11,1.8438951969146729,0.9069162440297853,0.043392798042413375,0.04,0.02
35,recency_only,heuristic,2944135,337,200000,9,0.13261103630065918,0.7730600654807244,0.00017918576357142283,0.0,0.0
35,victim_risk_only,heuristic,2944135,337,200000,9,0.08663797378540039,0.5674960928797351,7.159046497787785e-05,0.0,0.0
35,issuer_risk_only,heuristic,2944135,337,200000,9,0.08787989616394043,0.7154558066224092,0.0001628341989847773,0.0,0.0
35,structural_heuristic,heuristic,2944135,337,200000,9,0.11316037178039551,0.6945720890773418,8.470619475779337e-05,0.0,0.0
35,lgbm,S,2944135,337,200000,9,1.567762851715088,0.6378231464860362,0.00044759091849208565,0.0,0.0
35,lgbm,S+T,2944135,337,200000,9,1.6460919380187988,0.768768483470645,0.0011953555936431437,0.0,0.0
35,lgbm,S+T+C,2944135,337,200000,9,1.8855900764465332,0.6896804800660473,0.0017375750305954232,0.0,0.0
36,recency_only,heuristic,3144135,348,200000,16,0.13283991813659668,0.8383964467157373,0.01682627233046147,0.02,0.01
36,victim_risk_only,heuristic,3144135,348,200000,16,0.08748102188110352,0.5362436807444596,0.00024183859923789278,0.0,0.0
